file;;row;;col;;error;;analyzer
cmd/micro/micro.go;;132;;24;;Error return value of `config.LoadAllPlugins` is not checked;;(errcheck)
cmd/micro/micro.go;;304;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
cmd/micro/micro.go;;423;;10;;Error return value of `b.Save` is not checked;;(errcheck)
cmd/micro/micro_test.go;;59;;13;;Error return value of `b.Backup` is not checked;;(errcheck)
cmd/micro/micro.go;;35;;2;;var `autosave` is unused;;(unused)
internal/config/rtfiles.go;;62;;6;;type `namedFile` is unused;;(unused)
internal/config/rtfiles.go;;98;;21;;func `namedFile.Name` is unused;;(unused)
internal/util/util.go;;453;;13;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
internal/util/util.go;;471;;15;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
internal/util/util.go;;473;;15;;Error return value of `os.MkdirAll` is not checked;;(errcheck)
